职位,公司,薪资,城市,公司详情页
工业设计工程师,深圳市星特科技股份有限公司,1.4-2万,深圳·宝安区,https://jobs.51job.com/all/coAWRTMVE0ATcDZgNmVzY.html
视觉工程师,厦门新能安科技有限公司,1-1.6万·15薪,厦门·同安区,https://jobs.51job.com/all/coAWBUOVc8VG0EYgBnUzE.html
汽车人工智能技术经理,武汉欧可道企业管理咨询有限公司,50-70万/年,上海,https://jobs.51job.com/all/coCGtXMFAzAjsHZ1A2VDI.html
开发工程师,中国移动通信有限公司在线营销服务中心,1.3-2.5万·13薪,郑州,https://jobs.51job.com/all/coBmRTMVcwDjhUOFM5VTg.html
AI架构师-博士,恩斯迈电子（深圳）有限公司,3-5万,深圳,https://jobs.51job.com/all/coUjZRNwNiDjUFYQxoXDs.html
算法工程师,欧拓飞科技（珠海）有限公司,1.2-2万,珠海·珠海高新区,https://jobs.51job.com/all/coAGNSNwRhVG4ObQZlUjA.html
电子工程师（AI/VR眼镜）,通力科技股份有限公司,1.8-2.8万,惠州·惠城区,https://jobs.51job.com/all/coUzJdOlUzDjBWNwBiUj8.html
算法工程师（拔尖计划）,中国移动通信有限公司在线营销服务中心,2.8-4.2万·13薪,北京·昌平区,https://jobs.51job.com/all/coBmRTMVcwDjhUOFM5VTg.html
人工智能算法设计师,西安天和防务技术股份有限公司,1.5-2万,西安,https://jobs.51job.com/all/coBmJTNFIyVWMBZVc0Am4.html
嵌入式视觉算法工程师,广州中科云图智能科技有限公司,2-3万·13薪,广州·黄埔区,https://jobs.51job.com/all/coCGpXO1M0BTlSMQRgXDk.html
工业设计工程师,神通科技集团股份有限公司,6-9千·13薪,宁波·鄞州区,https://jobs.51job.com/all/coB2JRNlQ1UWlSNgxnXTw.html
售前工程师（公有云业务）,中国移动通信有限公司在线营销服务中心,1.3-2.5万·13薪,郑州,https://jobs.51job.com/all/coBmRTMVcwDjhUOFM5VTg.html
电商包装工程师,深圳桑椹汽配科技有限公司,1.2-1.8万,宁波·余姚市,https://jobs.51job.com/all/coBWdXMV45Um5WOgdnUTM.html
数字人开发应用工程师,深圳易弧文化科技有限公司,9千-1.2万,深圳·福田区,https://jobs.51job.com/all/coAGFSNFExVWoDZFcxUDQ.html
技术及自媒体专员,芯莱医人工智能科技湖北有限公司,5千-1万·13薪,武汉·武汉经济开发区,https://jobs.51job.com/all/coCGlVOFM3DjEObQZjUDc.html
售前工程师(ICT业务）,中国移动通信有限公司在线营销服务中心,1.3-2.5万·13薪,郑州,https://jobs.51job.com/all/coBmRTMVcwDjhUOFM5VTg.html
AI角色注册,千面（江苏）科技技术有限公司,50元/天,南京,https://jobs.51job.com/all/coAW5XMlEzAzVRMlQ0BWc.html
算法工程师,中正集团,1.5-2.5万·14薪,昆山,https://jobs.51job.com/all/coCGwCZV80AjgOaVEwVjA.html
AI算法工程师,珠海正和微芯科技有限公司,2-4万·14薪,成都·武侯区,https://jobs.51job.com/all/coCGgAYFc1AjpRMwJkUzE.html
售前工程师(ICT业务）,中国移动通信有限公司在线营销服务中心,1.3-2.5万·13薪,上海·松江区,https://jobs.51job.com/all/coBmRTMVcwDjhUOFM5VTg.html
算法工程师,广州旭升源科技有限公司,1-1.5万,济南·市中区,https://jobs.51job.com/all/coBGVdMV89UmlSN1cxUTA.html
算法工程师,江苏西励科技有限公司,8千-1.2万,杭州·西湖区,https://jobs.51job.com/all/coB2ZVOABlBjgHYQZtVDU.html
运筹优化高级算法工程师-电力系统优化方向,成都云智优企业管理咨询有限公司,3.5-5.5万·14薪,广州·天河区,https://jobs.51job.com/all/coAm1TN1c2BjgPbgJpB2M.html
需求分析师（智能化方向）,中国移动通信有限公司在线营销服务中心,1.3-2.5万·13薪,郑州,https://jobs.51job.com/all/coBmRTMVcwDjhUOFM5VTg.html
大模型搜索算法实习生,美团,6-7千,北京,https://jobs.51job.com/all/coBWcGZl49Az1WNlAxBmU.html
智能驾驶AI战略发展组长,广州佰特人力资源有限公司,4-5万·14薪,上海·松江区,https://jobs.51job.com/all/coBWtUOFU_BDNRNQNpUDY.html
工厂数字化工程师\主管,曲靖电缆有限公司,8千-1.5万,曲靖·宣威市,https://jobs.51job.com/all/coBWtVNVQ3DzUEZVQ3BmQ.html
开发工程师（C++开发）,中国移动通信有限公司在线营销服务中心,1.3-2.5万·13薪,郑州,https://jobs.51job.com/all/coBmRTMVcwDjhUOFM5VTg.html
售前技术支持工程师,广州赢溢电子有限公司,9千-1万·13薪,昆明,https://jobs.51job.com/all/coBWpSNwBhUm4AZwxtVzA.html
工业设计高级工程师,双一力（宁波）电池有限公司,1.2-1.6万,宁波·宁海县,https://jobs.51job.com/all/coB2RVMlcxAzlVNA1qXTg.html
工厂数字化工程师\主管,曲靖电缆有限公司,8千-1.5万,曲靖·宣威市,https://jobs.51job.com/all/coBWtVNVQ3DzUEZVQ3BmQ.html
AI深度学习算法工程师,上海慧铂信息技术有限公司,1.5-2.4万,上海·宝山区,https://jobs.51job.com/all/coVjhQPFA7BDIEZ1Y2B2Q.html
Python开发工程师,青岛智力云人工智能科技有限公司,5-8千,青岛·李沧区,https://jobs.51job.com/all/coVDVWMQRgAz8AZQdnUTE.html
多模态算法工程师(J12937),上海岩山科技股份有限公司,2-4万·14薪,上海·浦东新区,https://jobs.51job.com/all/coVTdQNl47U2UCbgNgAmY.html
工厂数字化工程师\主管,曲靖电缆有限公司,8千-1.5万,曲靖·宣威市,https://jobs.51job.com/all/coBWtVNVQ3DzUEZVQ3BmQ.html
导航算法工程师,福建（泉州）先进制造技术研究院,8千-1.5万,泉州·丰泽区,https://jobs.51job.com/all/coCGpRNVEzVWIFYQJpAmM.html
激光雷达算法工程师,南京和光智能制造研究院有限公司,1.5-2.5万,南京·栖霞区,https://jobs.51job.com/all/coBWZSNQVjAztWNlQ1VTc.html
智能驾驶AI战略发展经理,武汉欧可道企业管理咨询有限公司,3.6-5万·14薪,上海,https://jobs.51job.com/all/coCGtXMFAzAjsHZ1A2VDI.html
AI研发工程师,深圳市讯方技术股份有限公司,1.5-2.5万,北京·门头沟区,https://jobs.51job.com/all/coCW5cOlU1BjoDY1Q0Vjc.html
数据采集工程师,达格水务（广东）有限公司,8千-1万,广州·黄埔区,https://jobs.51job.com/all/coCWZUMFM5U2tRNABlBmo.html
电子工程师,珠海碳云智能科技有限公司,1.5-2.5万·13薪,深圳,https://jobs.51job.com/all/coAWIAbFY9BjoFZVQ0AmA.html
高级智能客服工程师,深圳硅基仿生科技股份有限公司,1.5-2.5万,深圳·龙华区,https://jobs.51job.com/all/coVDcAZAJgUm8Oa1A0VTg.html
地图算法工程师,浙江极云地理信息科技有限公司广州分公司,1.5-2.5万·13薪,广州·天河区,https://jobs.51job.com/all/coBGoBbAViUWgFaFY9UTc.html
人工智能标注师,河南多鲸信息技术有限公司,3-5千,郑州·高新区,https://jobs.51job.com/all/coA2xdOQdlVW9UMlcwUDc.html
机器学习算法专家,深圳市智慧巨人科技有限公司,8千-1万,北京·东城区,https://jobs.51job.com/all/coBWpUMF81ATpUMAJnAGY.html
AI算法工程师,陕西玲信森悦商贸有限公司,1-1.2万,西安·莲湖区,https://jobs.51job.com/all/coCGZSMlQxDjAGZwxrVzY.html
外观工程师,中国龙工控股有限公司,1-2万,上海·松江区,https://jobs.51job.com/all/coAGRVM1EwDzcCbgdkUD0.html
机器视觉算法工程师,上海德托智能工程有限公司,28-55万/年,上海,https://jobs.51job.com/all/coAWVTMQJnAj5UOVcyB2c.html
解决方案工程师,深圳市天威信息技术有限公司,8千-1.4万,深圳,https://jobs.51job.com/all/coAmZdOV4-UmsHZlQw.html
人工智能研发经理,中正集团,2-3万·13薪,昆山,https://jobs.51job.com/all/coCGwCZV80AjgOaVEwVjA.html
专利工程师/专利代理师,北京龙双利达知识产权代理有限公司,1-2万,北京·海淀区,https://jobs.51job.com/all/coCGhRNwNgVmsFaARnUDA.html
美工工程师助理,深圳市铭仕创印刷有限公司,5-7千,深圳·宝安区,https://jobs.51job.com/all/coAWJSNl88BDtVOAFiB2M.html
测试工程师（AI产品线）,深圳市同为数码科技股份有限公司,1.3-1.6万·14薪,深圳·南山区,https://jobs.51job.com/all/coVDMCZVI5Bj9SNQdsVDc.html
AI算法工程师,广州众志诚信息科技有限公司,1.5-2.5万·13薪,清远,https://jobs.51job.com/all/coAmFSN1c3BjwGYFAzUDw.html
专利工程师（应届生）,北京龙双利达知识产权代理有限公司,1-1.5万,西安·高新技术产业开发区,https://jobs.51job.com/all/coCGhRNwNgVmsFaARnUDA.html
AI开发工程师,宁波经纬数控股份有限公司,1-2万·13薪,宁波·鄞州区,https://jobs.51job.com/all/coVjJSNgBrVGIPY1E2AGI.html
嵌入式软件工程师（内窥镜图像AI方向）,浙江势通机器人科技有限公司,1.5-2.5万,嘉兴·嘉善县,https://jobs.51job.com/all/coBWsHYAVjBzBUMVM3B2M.html
6.ETL开发工程师,青岛智力云人工智能科技有限公司,6-8千,青岛·市南区,https://jobs.51job.com/all/coVDVWMQRgAz8AZQdnUTE.html
专利工程师（应届生）,北京龙双利达知识产权代理有限公司,1-1.5万,南京·雨花台区,https://jobs.51job.com/all/coCGhRNwNgVmsFaARnUDA.html
算法工程师,江苏全栈智能科技有限公司,1-1.5万,常州·新北区,https://jobs.51job.com/all/coBmkHY1IzUmoFaVEwAGw.html
包装设计工程师,广东贝豪生物科技有限公司,6千-1万,佛山·三水区,https://jobs.51job.com/all/coBmIFZgNkVG1RNwBiAWc.html
安卓/Android软件开发工程师,青岛智力云人工智能科技有限公司,6千-1.2万,青岛·市南区,https://jobs.51job.com/all/coVDVWMQRgAz8AZQdnUTE.html
专利工程师/专利代理师,北京龙双利达知识产权代理有限公司,1-1.5万,南京·雨花台区,https://jobs.51job.com/all/coCGhRNwNgVmsFaARnUDA.html
销售工程师,苏州同企人工智能科技有限公司,8千-1.6万,苏州·相城区,https://jobs.51job.com/all/coUzMFaVExBT1SNABqVjE.html
AI插件机工程师,宁波卓策电子科技有限公司,5-6.5千,宁波·鄞州区,https://jobs.51job.com/all/coVTUAYwNiUWdTMQVjAWA.html
算法工程师（大模型方向）,北京航空航天大学杭州创新研究院,1-2万·16薪,杭州·滨江区,https://jobs.51job.com/all/coBmVcPgBlAzwPaQNpAWM.html
职位,公司,薪资,城市,公司详情页
算法工程师（大模型方向）,北京航空航天大学杭州创新研究院,1-2万·16薪,杭州·滨江区,https://jobs.51job.com/all/coBmVcPgBlAzwPaQNpAWM.html
专利工程师/专利代理师,北京龙双利达知识产权代理有限公司,1-2万,北京·海淀区,https://jobs.51job.com/all/coCGhRNwNgVmsFaARnUDA.html
