职位,公司,薪资,城市,公司详情页
机器视觉算法工程师,崧智智能科技（深圳）有限公司,1.3-1.8万,苏州·苏州工业园区,https://jobs.51job.com/all/coB2QCZV88VWgBYgxuB2M.html
程序分析员（AIGC）,仙乐健康科技股份有限公司,6-9千·14薪,汕头,https://jobs.51job.com/all/coCGxRNQNjUmUCYlM2UTI.html
AI算法工程师,深圳市长亮科技股份有限公司,1.5-2.5万,深圳,https://jobs.51job.com/all/coAWVTPgdkU28BY1A1.html
机器人算法工程师（规划）(J10484),广州极飞科技股份有限公司,1.5-2.5万,广州·天河区,https://jobs.51job.com/all/coAGUGZlcwUmkBYgBrVDI.html
AI Agent应用开发高级工程师,联宝（合肥）电子科技有限公司,2.1-2.8万·15薪,合肥·蜀山区,https://jobs.51job.com/all/coUjYGZVY3DzRTN1cxUz8.html
AI算法工程师（2025届）,湖南国科微电子股份有限公司,1.5-2.5万,杭州·萧山区,https://jobs.51job.com/all/coVTBXMFE0VWhSMFQ3XD4.html
机器视觉AI算法工程师,上海锡明光电科技有限公司,1.8-2.5万,上海·浦东新区,https://jobs.51job.com/all/coBGAAZVQyAj1TNwBnBmU.html
图像算法工程师,杭州晨鹰军泰科技有限公司,1-1.5万,杭州·滨江区,https://jobs.51job.com/all/coCGpSPwRnUm0EZANlAWw.html
自然语言处理算法工程师,武汉大工尹科技发展有限公司,1-2万,武汉·武昌区,https://jobs.51job.com/all/coA2cBZlE7DjNRM1c1VDI.html
AI算法工程师-南京,中电鹏程智能装备有限公司,2-3.5万·13薪,南京·江宁区,https://jobs.51job.com/all/coUTJRPQViDzRRPFQxAWQ.html
图像算法工程师,深圳中天银河科技有限公司,6-8千,南京·江宁区,https://jobs.51job.com/all/coVDEBZV4_ADwPbAViUjA.html
AI应用工程师,浙江兆奕科技有限公司,1-2万·14薪,杭州·钱塘区,https://jobs.51job.com/all/coVjMFY1MyBDsCbgRnAmY.html
高级计算机视觉软件工程师,深圳市天博智科技有限公司,1.5-3万·15薪,深圳·南山区,https://jobs.51job.com/all/coAmcAY1M3VmEHYANnVzA.html
人工智能算法工程师,南京蔚蓝智能科技有限公司,1.5-3万,南京·江北新区,https://jobs.51job.com/all/coCWpQPVA3AjhSPg1uAGY.html
京东POP店AI训练师,上海普瑾特信息技术服务股份有限公司,9千-1万,上海·静安区,https://jobs.51job.com/all/coUzZUOQJmBDJWNg1rUTw.html
AI算法工程师（粤建数智）(J10289),广东省建筑设计研究院集团股份有限公司,25-30万/年,广州,https://jobs.51job.com/all/coBWBXNF44UmQCZVQzB2s.html
AI算法高级工程师(必须博士学位),深圳市天博智科技有限公司,3-6万·15薪,深圳·南山区,https://jobs.51job.com/all/coAmcAY1M3VmEHYANnVzA.html
深度学习工程师,四川同盈未来科技有限公司,9千-1万,成都·青羊区,https://jobs.51job.com/all/coAW8AYlEwUmQDblYzVjs.html
人工智能/大模型工程师,深圳市能信安科技股份有限公司,1.5-2.5万,深圳·龙华区,https://jobs.51job.com/all/coVTJcOVA2ADlTM1M2.html
AI人工智能开发工程师,重庆山外山血液净化技术股份有限公司,1.5-2.5万·13薪,重庆,https://jobs.51job.com/all/coCW5VOVU2UmhVMlcxVjs.html
ai全栈工程师,江苏中博通信有限公司,1-2万·14薪,南京·鼓楼区,https://jobs.51job.com/all/coVjJUNF80UW8PYlM3BmA.html
标准化工程师,上海人工智能研究院有限公司,1.2-2万,上海·闵行区,https://jobs.51job.com/all/coAWJRNlQzADZUNwNpUDE.html
AI算法工程师,富士康科技集团准时达供应链管理(上海分公司),3-4.5万·13薪,上海·长宁区,https://jobs.51job.com/all/coVTAAY189BzwFYlM2UjY.html
人工智能材料信息学研发工程师,上海金珵科技有限公司,1.5-2.5万,上海·闵行区,https://jobs.51job.com/all/coVTtQMV45UmlRMVY8AWw.html
AI与大数据分析工程师,中国移动通信集团北京有限公司,,北京,https://jobs.51job.com/all/coVjVTN14-AT1TMwRkXT8.html
职位,公司,薪资,城市,公司详情页
AI与大数据分析工程师,中国移动通信集团北京有限公司,,北京,https://jobs.51job.com/all/coVjVTN14-AT1TMwRkXT8.html
Technical Writer,上海人工智能研究院有限公司,1.2-2.4万,嘉兴·嘉善县,https://jobs.51job.com/all/coAWJRNlQzADZUNwNpUDE.html
售前技术支持工程师,广州国巡机器人科技有限公司,8千-1.5万·13薪,广州·黄埔区,https://jobs.51job.com/all/coBmZVNgVkBDIOaQZiAWA.html
智能建造工程师,江苏智聚智慧建筑科技有限公司,8千-1万·15薪,南通·崇川区,https://jobs.51job.com/all/coBmVcP180UWdUM1YwBmU.html
AI算法工程师（信息系统部）,中国移动通信集团北京有限公司,,北京,https://jobs.51job.com/all/coVjVTN14-AT1TMwRkXT8.html
人工智能室主任,华诺星空技术股份有限公司,30-50万/年,长沙,https://jobs.51job.com/all/coUjZWMV89Bz4ObgFnB2A.html
AI算法工程师（光伏储能方向）,浙江艾罗网络能源技术股份有限公司,2-4万·15薪,杭州·西湖区,https://jobs.51job.com/all/coUzZXNlQzVm5SPgVlAGY.html
智能工厂统筹规划工程师,广州东昇机械有限公司,8千-1.5万,广州·花都区,https://jobs.51job.com/all/coBmIHZlcyAjoCblc0BmY.html
AI技术工程师,北京天安农业发展有限公司,8千-1.6万,北京·昌平区,https://jobs.51job.com/all/coAmICYAdiAjlVNwBnBmM.html
python人工智能工程师,广东融勤教育科技有限公司,1-1.5万,东莞·樟木头镇,https://jobs.51job.com/all/coB2UGalI2AT5SNlA7UTU.html
人工智能工程师-NIBS生物信息学中心,北京生命科学研究所,7千-1万,北京·昌平区,https://jobs.51job.com/all/coAWRWOgdkBjwGZwZjXTE.html
AI开发人员,重庆维普资讯有限公司,1.2-1.5万·13薪,重庆·渝北区,https://jobs.51job.com/all/coBGEGa1AyBD8GYlAw.html
硬件工程师,重庆普施康科技发展股份有限公司,1.5-3万,重庆·江北区,https://jobs.51job.com/all/coVjNRM140VWMGYFc1BWM.html
高级AI开发工程师（长沙）,凯通科技股份有限公司,3-5万,长沙·岳麓区,https://jobs.51job.com/all/coBmEBZVczDjUHZwNm.html
高级AI工程师（LLaMA）,北京第一生物化学药业有限公司,2-4万,北京·朝阳区,https://jobs.51job.com/all/coUTUHYV4_BDsEaANlAmM.html
ETL开发工程师,青岛智力云人工智能科技有限公司,5-9千,青岛·崂山区,https://jobs.51job.com/all/coVDVWMQRgAz8AZQdnUTE.html
人工智能算法工程师,上海市人工智能行业协会,1.5-2.5万·13薪,上海·浦东新区,https://jobs.51job.com/all/coBWUBZFUwUmoHZlY9VjI.html
条码算法工程师,苏州亚博汉智能科技有限公司,2-4万·13薪,苏州·高新区,https://jobs.51job.com/all/coAWFcPFAyU28EYgVjUjQ.html
产品工程师,上海艾豚科技有限公司,8千-1.2万·14薪,上海·浦东新区,https://jobs.51job.com/all/coUTIBbVA3BzpUMwRvB2c.html
网站开发工程师,青岛智力云人工智能科技有限公司,5-8千,青岛·李沧区,https://jobs.51job.com/all/coVDVWMQRgAz8AZQdnUTE.html
数智化转型咨询顾问,上海市人工智能行业协会,1.5-2万·13薪,上海,https://jobs.51job.com/all/coBWUBZFUwUmoHZlY9VjI.html
AI 算法工程师,苏州亚博汉智能科技有限公司,2-4万·13薪,苏州·高新区,https://jobs.51job.com/all/coAWFcPFAyU28EYgVjUjQ.html
AI算法培训产品工程师,宁波诚享教育科技有限公司,9-10万/年,宁波,https://jobs.51job.com/all/coB2VWMlUzADgPaFQ3VTM.html
Java软件开发工程师,青岛智力云人工智能科技有限公司,6-9千,青岛·市北区,https://jobs.51job.com/all/coVDVWMQRgAz8AZQdnUTE.html
AI技术项目负责人,上海市人工智能行业协会,2-3.5万,上海·浦东新区,https://jobs.51job.com/all/coBWUBZFUwUmoHZlY9VjI.html
销售工程师,深圳市华科智能有限公司,6千-1万,深圳·龙岗区,https://jobs.51job.com/all/coAWBQNgJiVG5WNVQ3AmQ.html
数字人算法工程师,深圳市格灵人工智能与机器人研究院,2.5-4.5万,深圳·南山区,https://jobs.51job.com/all/coVTYAY1A0BD0GYQBgBWI.html
网络管理员,青岛智力云人工智能科技有限公司,5-8千,青岛·李沧区,https://jobs.51job.com/all/coVDVWMQRgAz8AZQdnUTE.html
机器人专委会负责人,上海市人工智能行业协会,1-2万,上海·浦东新区,https://jobs.51job.com/all/coBWUBZFUwUmoHZlY9VjI.html
AI工程师,布廷恩工程管理（北京）有限公司,1-2万·13薪,上海·嘉定区,https://jobs.51job.com/all/coCWpQMgRgADoOalM4AmU.html
AI训练师,星境云创数字技术（深圳）有限公司,5-9千,武汉·青山区,https://jobs.51job.com/all/coVTFcP1E7AjUCYQJnXD8.html
大数据开发工程师,青岛智力云人工智能科技有限公司,6-9千,青岛·市南区,https://jobs.51job.com/all/coVDVWMQRgAz8AZQdnUTE.html
算法工程师,广东海格怡创科技有限公司,6-9千,广州·天河区,https://jobs.51job.com/all/coCGhVOVU-DzcBbAdj.html
AI算法工程师-福州,中电福富信息科技有限公司,1.5-2万·13薪,福州·鼓楼区,https://jobs.51job.com/all/coBmMHZANgBjhWOg1n.html
AI算法工程师,中才邦业（杭州）智能技术有限公司,1.8-2.5万·14薪,杭州·滨江区,https://jobs.51job.com/all/coAWJSNVI1UWhSMVAzUzI.html
网站开发工程师,青岛智力云人工智能科技有限公司,6-8千,青岛·李沧区,https://jobs.51job.com/all/coVDVWMQRgAz8AZQdnUTE.html
嵌入式AI算法工程师,美格智能技术股份有限公司,1.5-3万·13薪,上海,https://jobs.51job.com/all/coBWVcMVE1Az8BZVA1UTY.html
AI算法工程师,上海柏飞电子科技有限公司,3-5万·14薪,上海,https://jobs.51job.com/all/coUjVRNwJjBjACZFAwUTI.html
人工智能算法工程师,上海奈奕金企业管理服务中心,1.8-3.5万·13薪,上海,https://jobs.51job.com/all/coAG5TMwNgVGgBbFMyUTw.html
AI工程师/python开发工程师,江苏领焰智能科技股份有限公司,6千-1.2万,上海·闵行区,https://jobs.51job.com/all/coBGECZAdkU2QBYgZsUTU.html
AI顾问,中大咨询,6-8万,,https://jobs.51job.com/all/coB2IHYwNmDjcCZwRn.html
网络安全工程师,青岛智力云人工智能科技有限公司,7-9千,青岛·市北区,https://jobs.51job.com/all/coVDVWMQRgAz8AZQdnUTE.html
安监售前技术支持工程师,广东鉴面智能科技有限公司,5千-1万,珠海·香洲区,https://jobs.51job.com/all/coAmIFYVE3VGsGYFc8B2I.html
AI（环球插件机）工程师,深圳市建滔科技有限公司,8千-1.2万,深圳·龙岗区,https://jobs.51job.com/all/coB2NdPAdgBD0AZgVmBWE.html
人工智能研究院院长,中储智运科技股份有限公司,6-10万,南京,https://jobs.51job.com/all/coUzZXN1c8BT5WNFcxAWc.html
Java高级开发工程师,青岛智力云人工智能科技有限公司,8千-1.4万,青岛·市北区,https://jobs.51job.com/all/coVDVWMQRgAz8AZQdnUTE.html
AI算法工程师,上海超群检测科技股份有限公司,3-4万·14薪,上海·松江区,https://jobs.51job.com/all/coBWJdMFI5AzpWNwBlAW0.html
高级电气工程师,常州孟腾智能装备有限公司,1.5-2.8万,常州·武进区,https://jobs.51job.com/all/coCWxXNFI4UWYDYgZtAWE.html
AI算法工程师,安徽金晟达生物电子科技有限公司,1.3-2.5万,马鞍山,https://jobs.51job.com/all/coUzNQNVI3Vm8BZARkB2E.html
Python开发工程师（AI方向）,神州数码信息服务集团股份有限公司,1.5-2万,深圳·罗湖区,https://jobs.51job.com/all/coVDBSMFQ_BDkBZlE0UD0.html
AI开发工程师,广州千野商务服务有限公司,1.5-2.5万·15薪,广州·黄埔区,https://jobs.51job.com/all/coCGtdOVM0DjNSMwVnBWM.html
机器视觉算法工程师,深圳市长恒创新科技有限公司,1-2万,深圳·宝安区,https://jobs.51job.com/all/coCWtRMwNpUmVTMlcwXD4.html
算法工程师（预测、人工智能方向）,北京清能互联科技有限公司,2-3万·13薪,广州·天河区,https://jobs.51job.com/all/coCGpRMlI5ADgPaQxtVTY.html
数字智能工程师,兰溪市兰欣实业有限公司,1.5-2.5万,金华·兰溪市,https://jobs.51job.com/all/coAW5QNFc1U2lUMgVnBmA.html
光照培养箱设计工程师,无锡力维众合智能制造有限公司,1.5-3万,无锡·惠山区,https://jobs.51job.com/all/coBWVVNVIzBThUMlc8VDg.html
智能制造算法工程师(J10116),中芯国际集成电路制造(北京)有限公司,1-1.7万·15薪,北京·大兴区,https://jobs.51job.com/all/coAGJVNwJhAzpWMwVlAW0.html
人工智能算法专家,北京清能互联科技有限公司,3-6万·13薪,广州·天河区,https://jobs.51job.com/all/coCGpRMlI5ADgPaQxtVTY.html
大数据/AI算法开发工程师(A215777),惠州市德赛西威汽车电子股份有限公司,1.5-2.5万·13薪,惠州·惠城区,https://jobs.51job.com/all/coUzZWMlY2BzxWOwBgVTY.html
硬件工程师,人工智能与数字经济广东省实验室（深圳）,20-40万/年,深圳·光明区,https://jobs.51job.com/all/coBmlUMF85AD4AZARiUjY.html
算法工程师,上海人工智能研究院有限公司,1.2-2.2万,嘉兴·嘉善县,https://jobs.51job.com/all/coAWJRNlQzADZUNwNpUDE.html
AI算法工程师,北京清能互联科技有限公司,2-3万·13薪,广州·天河区,https://jobs.51job.com/all/coCGpRMlI5ADgPaQxtVTY.html
人工智能算法工程师,上海工业自动化仪表研究院有限公司,35-70万/年,上海·徐汇区,https://jobs.51job.com/all/coCWtdPgRuBzkCZVExVzc.html
规划/决策算法工程师,长沙智能驾驶研究院有限公司,1.5-2.5万,长沙·岳麓区,https://jobs.51job.com/all/coAGIHZVI5BDgAZQ1oUDU.html
机器人算法工程师（清华大学深圳国际研究生院课题组）,广州富唯智能科技有限公司,2-3万,深圳·南山区,https://jobs.51job.com/all/coCWhdOlc8VG0OagZnUjE.html
项目工程师（汽车设备）,无锡先导智能装备股份有限公司,1.8-3.5万·14薪,无锡,https://jobs.51job.com/all/coAGRcPVYzVGwAbVQyVDY.html
人工智能算法工程师,上海金珵科技有限公司,1.5-3万,上海·闵行区,https://jobs.51job.com/all/coVTtQMV45UmlRMVY8AWw.html
智能驾驶研发工程师,长沙智能驾驶研究院有限公司,1.2-2万,长沙·岳麓区,https://jobs.51job.com/all/coAGIHZVI5BDgAZQ1oUDU.html
AI图像算法工程师,超视界显示技术有限公司,9-18万/年,广州·增城区,https://jobs.51job.com/all/coUjBSMARvUWgEaQBrVjE.html
项目工程师（汽车设备）,无锡先导智能装备股份有限公司,1.8-3.5万·14薪,无锡,https://jobs.51job.com/all/coAGRcPVYzVGwAbVQyVDY.html
售前工程师（智能化）,武汉博睿英特科技有限公司,1-1.5万·14薪,武汉,https://jobs.51job.com/all/coCW1QMVAwVW9RPABhAWI.html
图形算法工程师,华中科技大学无锡研究院,1.2-2.5万·14薪,无锡,https://jobs.51job.com/all/coAmdUMQNgVW8CZVA7VDQ.html
FAE工程师（广州）,万宝盛华企业管理咨询（上海）有限公司浦东分公司,1-2万·13薪,深圳,https://jobs.51job.com/all/coUjJQPARgDzMHY1M1UzM.html
AI中台系统工程师,深圳市优克联新技术有限公司,1.5-3万,深圳·南山区,https://jobs.51job.com/all/coUzZVMVEzU2oFYQxpVzY.html
AI工程师,广州荣东新材料有限公司,8千-1.3万,广州·番禺区,https://jobs.51job.com/all/coVDRRPQdkAD1UNgdlVDM.html
大模型开发工程师,广州市香雪制药股份有限公司,8千-1.2万,广州·黄埔区,https://jobs.51job.com/all/coB2BWM1UwAjVTMQRv.html
FAE工程师（北京）,万宝盛华企业管理咨询（上海）有限公司浦东分公司,1.5-2万·14薪,北京,https://jobs.51job.com/all/coUjJQPARgDzMHY1M1UzM.html
嵌入式软件工程师 （AI方向）,苏州国芯科技股份有限公司,1.5-3万·13薪,苏州,https://jobs.51job.com/all/coAGcFaVQ3VGwEY1M3B2U.html
AI仿真工程师,采埃孚（中国）投资有限公司,,广州·花都区,https://jobs.51job.com/all/coBWAHZgJiBT0DYVcyUjM.html
AI 行业应用实习生,湖北中科网络科技股份有限公司,3-3.5千,武汉·江夏区,https://jobs.51job.com/all/coAmcAZ1I4Um0PYgFiAmc.html
AI设备工程师（株洲）,株洲麦格米特电气有限责任公司,6千-1.2万,武汉,https://jobs.51job.com/all/coBWVcPV85VmwBZ1E1UTQ.html
AI时空大模型开发工程师,人工智能与数字经济广东省实验室（深圳）,20-40万/年,深圳·光明区,https://jobs.51job.com/all/coBmlUMF85AD4AZARiUjY.html
AI大模型工程师,科理咨询（深圳）股份有限公司,1.8-3.6万,深圳·南山区,https://jobs.51job.com/all/coA2dTMFU_UWoFYlY3VjY.html
Python开发工程师（数据与模型）,TCL电子,1-1.5万·16薪,惠州·仲恺区,https://jobs.51job.com/all/coBmJQMVI5UW1VNwdjUj4.html
售前解决方案工程师/售前经理,深圳果力智能科技有限公司,8千-1万,深圳·宝安区,https://jobs.51job.com/all/coA2EAYVcxBT8ObVQwBmA.html
AI算法应用工程师,中国兵器装备集团自动化研究所有限公司,16-22万/年,绵阳,https://jobs.51job.com/all/coAmIFYgBjDjAAYgRnVjo.html
AI架构师,南京诺丹工程技术有限公司,2-4万,南京·秦淮区,https://jobs.51job.com/all/coA2cAbFU-AD4CYgFrVDI.html
AI算法工程师,武汉高德红外股份有限公司,2.8-3.5万,武汉,https://jobs.51job.com/all/coAWZRMlYwU2QPaAJg.html
人工智能工程师（计算机视觉方向）(J11023),中移（上海）信息通信科技有限公司,,武汉·洪山区,https://jobs.51job.com/all/coBGdRMVU3UmwEaQZgAmQ.html
AI开发应用（应届/实习优先）,上海诚利供应链管理（集团）有限公司,6千-1万·13薪,上海·浦东新区,https://jobs.51job.com/all/coCWkGalE2BjsDZgBrVzo.html
电气工程师-物流行业(J10102),伟本智能机电（上海）股份有限公司,1.5-2.5万,上海·松江区,https://jobs.51job.com/all/coBGBTNF84Bj1VNVcwVjQ.html
AI图像算法工程师（漆面检测）,广州瑞松智能科技股份有限公司,2.5-3.5万·13薪,广州·黄埔区,https://jobs.51job.com/all/coAWVXOlc1BzkObgxsUjU.html
智能制造工艺,东方电气自动控制工程有限公司,10-15万/年,德阳,https://jobs.51job.com/all/coAWJUNwVmVm0BZlYwB2c.html
AI应用工程师,四川升华电源科技有限公司,15-20万/年,成都,https://jobs.51job.com/all/coBGBcPl41DjIFaQ1mXDE.html
电气工程师-机加方向(J10100),伟本智能机电（上海）股份有限公司,1.5-2.5万,上海·松江区,https://jobs.51job.com/all/coBGBTNF84Bj1VNVcwVjQ.html
图像算法工程师（间隙面差）,广州瑞松智能科技股份有限公司,2.5-3.5万·13薪,广州·黄埔区,https://jobs.51job.com/all/coAWVXOlc1BzkObgxsUjU.html
AI部署工具开发工程师,进迭时空（杭州）科技有限公司,1.5-3万,上海·浦东新区,https://jobs.51job.com/all/coUTEBbVA2BzsObwViUj4.html
(高级)AI软件工程师-模型转换调优方向,时擎智能科技（上海）有限公司,2-4万·14薪,上海·浦东新区,https://jobs.51job.com/all/coUTJVNANkAzRWOlE1VDI.html
视觉算法工程师,苏州英诺威视半导体设备有限公司,1-2万,苏州·苏州工业园区,https://jobs.51job.com/all/coVTVSNQdlVmACZwFrXDs.html
AI图像算法工程师,广州瑞松智能科技股份有限公司,2.5-3万·13薪,广州·黄埔区,https://jobs.51job.com/all/coAWVXOlc1BzkObgxsUjU.html
AI部署工具开发工程师,进迭时空（杭州）科技有限公司,1.5-3万,杭州·余杭区,https://jobs.51job.com/all/coUTEBbVA2BzsObwViUj4.html
职位,公司,薪资,城市,公司详情页
UI设计师,上海睿音海纳人工智能科技有限公司,7千-1万,长沙·岳麓区,https://jobs.51job.com/all/coBmhUOAdtAD8EaAJpXDo.html
AI Agent应用开发高级工程师,联宝（合肥）电子科技有限公司,1.5-2万·15薪,合肥,https://jobs.51job.com/all/coUjYGZVY3DzRTN1cxUz8.html
AI研发工程师,武汉异纤检测科技有限公司,3-5万·13薪,武汉·江夏区,https://jobs.51job.com/all/coB2ZUNVE0DzZUMgZnBmU.html
高级Java开发工程师（有AI项目经验优先）,正元智慧集团股份有限公司,1.8-3万·14薪,杭州·余杭区,https://jobs.51job.com/all/coAmUGa1Y2UWxVNAxm.html
视觉算法工程师,芜湖伯特利汽车安全系统股份有限公司,20-40万/年,西安·碑林区,https://jobs.51job.com/all/coCW0GZ1IyUm1WNQdtBWk.html
图像算法高级工程师（工业检测）,联宝（合肥）电子科技有限公司,2-3万·15薪,合肥·蜀山区,https://jobs.51job.com/all/coUjYGZVY3DzRTN1cxUz8.html
图像算法工程师（3C）,无锡先导智能装备股份有限公司,1.8-3.6万,无锡·新吴区,https://jobs.51job.com/all/coAGRcPVYzVGwAbVQyVDY.html
AI测试开发工程师,煤炭科学研究总院有限公司,30-60万/年,北京,https://jobs.51job.com/all/coVDoFaQRhVGsAYAxpUDY.html
算法工程师（机器狗项目）,广州华水生态科技有限公司,1.5-3万,广州,https://jobs.51job.com/all/coBWQCblc3AT8FZFc8B2I.html
机器学习工程师,上海地听信息科技有限公司,8千-1.3万,成都·武侯区,https://jobs.51job.com/all/coUTUBYlA1VWIFYgJnBmA.html
外协工程师（3C）,无锡先导智能装备股份有限公司,8千-1万,无锡·新吴区,https://jobs.51job.com/all/coAGRcPVYzVGwAbVQyVDY.html
AI平台开发工程师（Python）(J47371),京东方科技集团股份有限公司,2-4万,北京·大兴区,https://jobs.51job.com/all/coCG9VNAdiUm0CY1Ay.html
人工智能工程师,国家超级计算无锡中心,1.2-2.4万,无锡·滨湖区,https://jobs.51job.com/all/coBWsBZwJmVWoGYQJgBWE.html
AI工程师,杭州安费诺飞凤通信部品有限公司,1-2万·14薪,杭州·钱塘区,https://jobs.51job.com/all/coVTFTN1UzVWhUNAZnVjA.html
采购工程师（3C）,无锡先导智能装备股份有限公司,8千-1万,无锡·新吴区,https://jobs.51job.com/all/coAGRcPVYzVGwAbVQyVDY.html
弱电工程设计师,上海银澜智能化工程有限公司,9千-1.3万,上海·宝山区,https://jobs.51job.com/all/coBGBUNAdhAjoObgdiVjM.html
智能技术工程师,长虹美菱股份有限公司,7千-1.3万·13薪,合肥·经开区,https://jobs.51job.com/all/coBGdVNF8_ATsOagRuVzM.html
端侧AI算法开发及系统开发工程师,扬州万方科技股份有限公司,1.5-3万·13薪,扬州,https://jobs.51job.com/all/coBWFWOgRgBTwBZwFiBmE.html
机械研发工程师(3C),无锡先导智能装备股份有限公司,2-3.5万,无锡·新吴区,https://jobs.51job.com/all/coAGRcPVYzVGwAbVQyVDY.html
AI数据标注员,佰聆数据股份有限公司北京分公司,5-8千,广州,https://jobs.51job.com/all/coBmVSMVUzAj4CZFY0AWI.html
信息化售前工程师,苏州同企人工智能科技有限公司,1-2万,苏州·相城区,https://jobs.51job.com/all/coUzMFaVExBT1SNABqVjE.html
人工智能算法工程师,扬州万方科技股份有限公司,1-2万,扬州,https://jobs.51job.com/all/coBWFWOgRgBTwBZwFiBmE.html
高级软件开发工程师（平台开发）(J11341),无锡先导智能装备股份有限公司,2.5-3万,无锡·新吴区,https://jobs.51job.com/all/coAGRcPVYzVGwAbVQyVDY.html
AI工程师,山东山大电力技术股份有限公司,1.2-2万,济南·历城区,https://jobs.51job.com/all/coUzYFYwRmBDMGYwFl.html
项目经理,苏州同企人工智能科技有限公司,1-1.5万,苏州·相城区,https://jobs.51job.com/all/coUzMFaVExBT1SNABqVjE.html
人工智能算法工程师（硕士及以上）,扬州万方科技股份有限公司,1.9-3.2万,扬州,https://jobs.51job.com/all/coBWFWOgRgBTwBZwFiBmE.html
PCB Layout 工程师 （3C）,无锡先导智能装备股份有限公司,2-3.5万,无锡·新吴区,https://jobs.51job.com/all/coAGRcPVYzVGwAbVQyVDY.html
销售工程师（AI/HPC/服务器方向）,上海纳海信息技术有限公司,8千-1.5万·13薪,上海·闵行区,https://jobs.51job.com/all/coA2NRMVAyDzBWNwVgBWg.html
机器人算法工程师,杭州柳叶刀机器人有限公司,1.5-3万,杭州·余杭区,https://jobs.51job.com/all/coVDRXMlU1BTNUNARgAWI.html
主板及AI硬件设计工程师,扬州万方科技股份有限公司,1-2万,扬州,https://jobs.51job.com/all/coBWFWOgRgBTwBZwFiBmE.html
C#软件开发工程师(3C),无锡先导智能装备股份有限公司,2-3.5万,无锡·新吴区,https://jobs.51job.com/all/coAGRcPVYzVGwAbVQyVDY.html
AI算法工程师,宁波旷世智源工艺设计有限公司,1-2万,宁波·海曙区,https://jobs.51job.com/all/coAGRUNAdjBD4CY1MyAmU.html
AI基础设施运维工程师(J14343),长鑫集电（北京）存储技术有限公司,1.5-2.5万·15薪,北京·大兴区,https://jobs.51job.com/all/coBmcBZ1EwAD8BY1QxUDI.html
人工智能算法工程师（硕士及以上）,扬州万方科技股份有限公司,1.5-2.5万,扬州,https://jobs.51job.com/all/coBWFWOgRgBTwBZwFiBmE.html
深度学习算法工程师,越读（浙江）数字科技有限公司,8千-1万,绍兴·越城区,https://jobs.51job.com/all/coB2kHalIyUmlWOlE6B2A.html
高级嵌入式工程师,江苏叁度友信科技文化有限公司,3-3.5万,南京·栖霞区,https://jobs.51job.com/all/coVTpcOF47UWoGYFE3UzQ.html
资深销售工程师（AI方向）,深圳市荣德伟业电子有限公司,1-1.5万·13薪,苏州,https://jobs.51job.com/all/coAWRcOlIyVGxRMAdjVDM.html
AI工程师,安徽橡豫智能科技有限公司,1.2-1.5万,南京·江宁区,https://jobs.51job.com/all/coA20FZQRmBjABYwZsXD0.html
PE工程师-充电器,东莞市思行智能设备制造有限公司,1-1.5万·13薪,东莞·塘厦镇,https://jobs.51job.com/all/coBmcAZVMwVWoHYVMzUTU.html
高级软件算法工程师,江苏通领科技有限公司,2.5-3.5万,太仓,https://jobs.51job.com/all/coVDBQPQNjU2xSNABrXTo.html
超声AI研发工程师,国药通用（深圳）医疗影像有限公司,3-4.5万,深圳·光明区,https://jobs.51job.com/all/coCGZTPwJmBjlUNlEyVjQ.html
AI工程师,安徽橡豫智能科技有限公司,1.2-1.5万,南京·江宁区,https://jobs.51job.com/all/coA20FZQRmBjABYwZsXD0.html
AI算法工程师,江苏艾康生物医药研发有限公司,2-3万·13薪,南京·浦口区,https://jobs.51job.com/all/coBGBUOANhAzhTPlQ_AWI.html
图像算法工程师,广东科凯达智能机器人有限公司,1.2-1.8万,佛山,https://jobs.51job.com/all/coBGYBZ1UyAjxWNwdiVDc.html
AI设计师,义乌市锐超相框有限公司,6-8千,义乌,https://jobs.51job.com/all/coVDFVOFMwBj8EYA1qVzo.html
算法工程师,上海图灵智造机器人股份有限公司,6千-1万,上海·宝山区,https://jobs.51job.com/all/coAWABY14_VmAGZlQ_Uj4.html
智能应用系统分析师,合肥晶合集成电路股份有限公司,1-2万·15薪,合肥·新站区,https://jobs.51job.com/all/coBmNUOQdiADhUMVQ0AWM.html
AI应用工程师,深圳市同为数码科技股份有限公司,1.8-3万·15薪,深圳·南山区,https://jobs.51job.com/all/coVDMCZVI5Bj9SNQdsVDc.html
AI工程师,长城电源技术有限公司,1.2-1.8万,长沙,https://jobs.51job.com/all/coA20FZVA1DjRSPlA3AmE.html
深度学习算法工程师,越读（浙江）数字科技有限公司,8千-1万,绍兴·越城区,https://jobs.51job.com/all/coB2kHalIyUmlWOlE6B2A.html
图像标注工程师,无锡祥生医疗科技股份有限公司,8千-1.4万·13薪,无锡,https://jobs.51job.com/all/coAmUBZ185UWwDZQNpUjI.html
智能底盘软件开发工程师,格物汽车科技（盐城）有限公司,1.5-3万,苏州,https://jobs.51job.com/all/coCWdWMFM3UmtVOQdsBWQ.html
智能制造工程师,中国核动力研究设计院,1-2万·13薪,成都,https://jobs.51job.com/all/coCWxQPQBmVGgCZQ1pAWc.html
人工智能工程师-中科安齿,前程无忧直播招聘,25-35万/年,佛山·南海区,https://jobs.51job.com/all/coUTBQMVIwBTMDZFMwXDA.html
